"GENEID","avg_effect","consistency","n_disorders"
"ENSG00000008710",0.150780525,0.315744992043993,2
"ENSG00000008735",0.192271984333333,NA,1
"ENSG00000008838",0.06406578375,0.158971864986745,2
"ENSG00000008853",0.0187049284285714,0.303109190693705,3
"ENSG00000008869",-0.0570333,NA,1
"ENSG00000008952",0.0552178616666667,NA,1
"ENSG00000008988",0.106010983,NA,1
"ENSG00000009307",-0.0591423,NA,1
"ENSG00000009413",-0.206900217,NA,1
"ENSG00000009780",-0.22383,NA,1
"ENSG00000009790",0.388111991777778,0.812945024411081,3
"ENSG00000009830",0.315067999,NA,1
"ENSG00000009950",0.2204900655,0.43373094770987,4
"ENSG00000010030",-1.156020869,NA,1
"ENSG00000010165",-0.246,NA,1
"ENSG00000010219",0.2697624475,0.0611471331493187,2
"ENSG00000010244",-0.1781773295,NA,1
"ENSG00000010256",0.0280637556666667,0.194738983319605,2
"ENSG00000010278",0.674850162,NA,1
"ENSG00000010282",0.171671173,0.508443395772146,2
"ENSG00000010292",0.2653247175,NA,1
"ENSG00000010295",-0.0336317785,0.390843687054232,2
"ENSG00000010310",0.7788875795,0.496767374950869,2
"ENSG00000010318",0.13647197675,0.00252242419031398,2
"ENSG00000010319",0.01524665675,0.424886082384345,3
"ENSG00000010322",0.159067979333333,0.0696076864171232,3
"ENSG00000010327",0.6445958895,0.307345220385697,2
"ENSG00000010379",-0.3533948,NA,1
"ENSG00000010404",-0.221145268,NA,1
"ENSG00000010438",-0.4899316,NA,1
"ENSG00000010610",-0.190778649,0.0196719241988577,2
"ENSG00000010626",0.309519895,NA,1
"ENSG00000010671",1.086589247,NA,1
"ENSG00000010704",0.653227992,NA,1
"ENSG00000010810",0.1105615,NA,1
"ENSG00000010818",-0.3268403165,0.252213044637196,3
"ENSG00000011009",-0.0957720545,NA,1
"ENSG00000011028",-0.1792727245,0.0289339956062484,2
"ENSG00000011083",-0.1765428,NA,1
"ENSG00000011105",0.273959986,NA,1
"ENSG00000011114",-0.122465052666667,NA,1
"ENSG00000011143",0.06657716,NA,1
"ENSG00000011201",-0.313961922,NA,1
"ENSG00000011243",-0.417972,NA,1
"ENSG00000011258",-0.00125878266666667,NA,1
"ENSG00000011260",-0.0549488,NA,1
"ENSG00000011304",-0.11212371,0.385742857029737,2
"ENSG00000011332",-0.101331512,NA,1
"ENSG00000011405",-0.3356561025,NA,1
"ENSG00000011422",0.597197331,0.0883045286246901,2
"ENSG00000011451",0.2171560455,0.11701273089357,2
"ENSG00000011465",0.2764602565,NA,1
"ENSG00000011485",0.17079276,NA,1
"ENSG00000011566",-0.12555470475,0.0645294401977489,2
"ENSG00000011600",-0.189526179666667,0.0360153272718067,3
"ENSG00000011638",0.0010420055,0.416687581478968,2
"ENSG00000012061",0.192531583666667,NA,1
"ENSG00000012124",0.900206542,NA,1
"ENSG00000012171",0.672787287,NA,1
"ENSG00000012174",-0.17464194875,0.0171307242021829,2
"ENSG00000012211",0.651026657333333,NA,1
"ENSG00000012223",-0.860335682833333,NA,1
"ENSG00000012660",0.0536455776666667,NA,1
"ENSG00000012779",0.572288326,NA,1
"ENSG00000012817",-0.256248,NA,1
"ENSG00000012963",-0.181914187,NA,1
"ENSG00000012983",0.111580243,NA,1
"ENSG00000013275",0.0557273785,NA,1
"ENSG00000013297",0.244632423619048,0.850691311485139,2
"ENSG00000013306",0.10761567,NA,1
"ENSG00000013364",0.333715,0.0759644815028708,2
"ENSG00000013374",0.194797437,NA,1
"ENSG00000013375",0.12735945825,0.0960727574073114,2
"ENSG00000013392",0.1768281135,NA,1
"ENSG00000013441",-0.346618475,0.0609611251749937,2
"ENSG00000013563",0.267279476,NA,1
"ENSG00000013573",-0.609803421,NA,1
"ENSG00000013583",0.117753746,NA,1
"ENSG00000013588",0.39289,NA,1
"ENSG00000013619",-0.3592427275,NA,1
"ENSG00000014123",0.068720859,NA,1
"ENSG00000014138",0.247254415,NA,1
"ENSG00000014164",-0.113782,NA,1
"ENSG00000014257",1.1064185505,1.05978130946859,2
"ENSG00000014641",0.0330700705,0.290495687448101,2
"ENSG00000014824",0.164583099,NA,1
"ENSG00000014914",0.139164623666667,0.190312693323291,3
"ENSG00000014919",0.09810106325,0.0633679586197871,2
"ENSG00000015133",-0.0563521763333333,0.418529946485835,3
"ENSG00000015153",0.045544435,0.354088166355585,3
"ENSG00000015171",-0.14896,NA,1
"ENSG00000015285",1.426171928,NA,1
"ENSG00000015475",-0.1382313,NA,1
"ENSG00000015520",0.48422,NA,1
"ENSG00000015568",0.335352023,NA,1
"ENSG00000015592",0.3368612,NA,1
"ENSG00000016391",-0.31125655,NA,1
"ENSG00000016402",-0.532200818,NA,1
"ENSG00000016602",0.961724981,NA,1
"ENSG00000016864",0.219000641,NA,1
"ENSG00000017260",-0.110952276,NA,1
"ENSG00000017373",0.040820719,NA,1
"ENSG00000017427",-0.521549067,0.282066214476567,2
"ENSG00000017483",-0.220865951666667,0.69609221846598,3
"ENSG00000018236",0.178656073,NA,1
"ENSG00000018280",0.1369282365,0.702001800445248,2
"ENSG00000018408",-0.038813145,0.517293660210989,2
"ENSG00000018510",0.125972374,NA,1
"ENSG00000018607",0.299412191666667,NA,1
"ENSG00000018869",-0.1038914,NA,1
"ENSG00000019102",-0.933,NA,1
