"gene","degree","weighted_degree"
"ENSG00000123243",4878,7651
"ENSG00000123992",4878,7651
"ENSG00000124702",4878,7651
"ENSG00000125458",4878,7651
"ENSG00000126767",4878,7651
"ENSG00000128567",4878,7651
"ENSG00000129538",4878,7651
"ENSG00000130208",4878,7651
"ENSG00000132016",4878,7651
"ENSG00000133619",4878,7651
"ENSG00000135540",4878,7651
"ENSG00000135829",4878,7651
"ENSG00000138463",4878,7651
"ENSG00000139946",4878,7651
"ENSG00000144381",4878,7651
"ENSG00000144791",4878,7651
"ENSG00000146833",4878,7651
"ENSG00000147571",4878,7651
"ENSG00000152952",4878,7651
"ENSG00000153165",4878,7651
"ENSG00000153487",4878,7651
"ENSG00000156103",4878,7651
"ENSG00000156587",4878,7651
"ENSG00000158169",4878,7651
"ENSG00000162542",4878,7651
"ENSG00000162688",4878,7651
"ENSG00000162971",4878,7651
"ENSG00000164604",4878,7651
"ENSG00000164949",4878,7651
"ENSG00000165091",4878,7651
"ENSG00000166130",4878,7651
"ENSG00000167123",4878,7651
"ENSG00000167964",4878,7651
"ENSG00000168002",4878,7651
"ENSG00000168453",4878,7651
"ENSG00000172403",4878,7651
"ENSG00000172613",4878,7651
"ENSG00000173848",4878,7651
"ENSG00000177370",4878,7651
"ENSG00000179178",4878,7651
"ENSG00000179912",4878,7651
"ENSG00000182348",4878,7651
"ENSG00000182667",4878,7651
"ENSG00000183718",4878,7651
"ENSG00000186918",4878,7651
"ENSG00000188522",4878,7651
"ENSG00000196950",4878,7651
"ENSG00000197043",4878,7651
"ENSG00000197852",4878,7651
"ENSG00000204065",4878,7651
"ENSG00000204264",4878,7651
"ENSG00000214226",4878,7651
"ENSG00000215717",4878,7651
"ENSG00000217801",4878,7651
"ENSG00000227544",4878,7651
"ENSG00000228223",4878,7651
"ENSG00000234287",4878,7651
"ENSG00000235565",4878,7651
"ENSG00000242265",4878,7651
"ENSG00000243742",4878,7651
"ENSG00000243927",4878,7651
"ENSG00000260461",4878,7651
"ENSG00000272734",4878,7651
"ENSG00000272993",4878,7651
"ENSG00000006128",4810,7612
"ENSG00000010319",4810,7612
"ENSG00000011600",4810,7612
"ENSG00000064300",4810,7612
"ENSG00000066294",4810,7612
"ENSG00000069849",4810,7612
"ENSG00000070718",4810,7612
"ENSG00000071575",4810,7612
"ENSG00000072041",4810,7612
"ENSG00000073737",4810,7612
"ENSG00000073756",4810,7612
"ENSG00000075643",4810,7612
"ENSG00000077616",4810,7612
"ENSG00000087250",4810,7612
"ENSG00000100285",4810,7612
"ENSG00000100784",4810,7612
"ENSG00000101180",4810,7612
"ENSG00000102547",4810,7612
"ENSG00000102804",4810,7612
"ENSG00000102878",4810,7612
"ENSG00000104635",4810,7612
"ENSG00000104972",4810,7612
"ENSG00000105374",4810,7612
"ENSG00000106327",4810,7612
"ENSG00000108465",4810,7612
"ENSG00000108828",4810,7612
"ENSG00000110799",4810,7612
"ENSG00000110934",4810,7612
"ENSG00000112312",4810,7612
"ENSG00000113140",4810,7612
"ENSG00000115008",4810,7612
"ENSG00000115041",4810,7612
"ENSG00000115738",4810,7612
"ENSG00000115956",4810,7612
"ENSG00000117151",4810,7612
"ENSG00000117525",4810,7612
"ENSG00000118707",4810,7612
"ENSG00000120833",4810,7612
"ENSG00000121895",4810,7612
"ENSG00000126003",4810,7612
"ENSG00000126458",4810,7612
"ENSG00000126882",4810,7612
"ENSG00000127528",4810,7612
"ENSG00000127951",4810,7612
"ENSG00000130052",4810,7612
"ENSG00000130479",4810,7612
"ENSG00000131374",4810,7612
"ENSG00000131379",4810,7612
"ENSG00000131471",4810,7612
"ENSG00000132854",4810,7612
"ENSG00000133794",4810,7612
"ENSG00000136160",4810,7612
"ENSG00000136297",4810,7612
"ENSG00000136352",4810,7612
"ENSG00000136383",4810,7612
"ENSG00000137331",4810,7612
"ENSG00000137462",4810,7612
"ENSG00000137834",4810,7612
"ENSG00000138495",4810,7612
"ENSG00000139291",4810,7612
"ENSG00000140284",4810,7612
"ENSG00000140287",4810,7612
"ENSG00000140678",4810,7612
"ENSG00000143340",4810,7612
"ENSG00000145526",4810,7612
"ENSG00000145888",4810,7612
"ENSG00000146143",4810,7612
"ENSG00000146278",4810,7612
"ENSG00000146281",4810,7612
"ENSG00000148362",4810,7612
"ENSG00000148450",4810,7612
"ENSG00000150347",4810,7612
"ENSG00000151834",4810,7612
"ENSG00000152256",4810,7612
"ENSG00000152492",4810,7612
"ENSG00000153283",4810,7612
"ENSG00000153902",4810,7612
"ENSG00000154721",4810,7612
"ENSG00000155090",4810,7612
"ENSG00000155307",4810,7612
"ENSG00000157303",4810,7612
"ENSG00000162076",4810,7612
"ENSG00000162244",4810,7612
"ENSG00000162551",4810,7612
"ENSG00000162645",4810,7612
"ENSG00000163132",4810,7612
"ENSG00000163331",4810,7612
"ENSG00000163762",4810,7612
"ENSG00000163932",4810,7612
"ENSG00000164035",4810,7612
"ENSG00000164181",4810,7612
"ENSG00000164379",4810,7612
"ENSG00000164434",4810,7612
"ENSG00000164512",4810,7612
"ENSG00000166428",4810,7612
"ENSG00000167461",4810,7612
"ENSG00000167588",4810,7612
"ENSG00000167604",4810,7612
"ENSG00000168077",4810,7612
"ENSG00000168243",4810,7612
"ENSG00000168334",4810,7612
"ENSG00000169429",4810,7612
"ENSG00000169715",4810,7612
"ENSG00000169733",4810,7612
"ENSG00000170681",4810,7612
"ENSG00000170893",4810,7612
"ENSG00000171551",4810,7612
"ENSG00000175497",4810,7612
"ENSG00000175785",4810,7612
"ENSG00000176974",4810,7612
"ENSG00000179361",4810,7612
"ENSG00000179397",4810,7612
"ENSG00000179869",4810,7612
"ENSG00000180176",4810,7612
"ENSG00000181626",4810,7612
"ENSG00000181631",4810,7612
"ENSG00000183160",4810,7612
"ENSG00000183888",4810,7612
"ENSG00000184508",4810,7612
"ENSG00000184584",4810,7612
"ENSG00000184922",4810,7612
"ENSG00000185033",4810,7612
"ENSG00000185112",4810,7612
"ENSG00000185433",4810,7612
"ENSG00000186567",4810,7612
"ENSG00000186818",4810,7612
"ENSG00000187678",4810,7612
"ENSG00000197119",4810,7612
"ENSG00000197808",4810,7612
"ENSG00000197901",4810,7612
"ENSG00000198156",4810,7612
"ENSG00000198400",4810,7612
"ENSG00000198502",4810,7612
"ENSG00000204520",4810,7612
"ENSG00000205609",4810,7612
"ENSG00000211751",4810,7612
"ENSG00000213626",4810,7612
"ENSG00000213742",4810,7612
"ENSG00000214189",4810,7612
"ENSG00000223284",4810,7612
"ENSG00000223414",4810,7612
"ENSG00000223669",4810,7612
"ENSG00000223865",4810,7612
"ENSG00000224546",4810,7612
"ENSG00000224905",4810,7612
"ENSG00000224911",4810,7612
"ENSG00000225194",4810,7612
"ENSG00000226102",4810,7612
"ENSG00000226751",4810,7612
"ENSG00000226913",4810,7612
"ENSG00000227039",4810,7612
"ENSG00000227165",4810,7612
"ENSG00000227372",4810,7612
"ENSG00000227502",4810,7612
"ENSG00000227606",4810,7612
"ENSG00000230316",4810,7612
"ENSG00000230530",4810,7612
"ENSG00000231615",4810,7612
"ENSG00000232903",4810,7612
"ENSG00000233560",4810,7612
"ENSG00000235408",4810,7612
"ENSG00000235501",4810,7612
"ENSG00000236806",4810,7612
"ENSG00000237162",4810,7612
"ENSG00000238795",4810,7612
"ENSG00000239908",4810,7612
"ENSG00000240445",4810,7612
"ENSG00000241563",4810,7612
"ENSG00000241684",4810,7612
"ENSG00000242529",4810,7612
"ENSG00000242699",4810,7612
"ENSG00000244509",4810,7612
"ENSG00000245532",4810,7612
"ENSG00000247095",4810,7612
"ENSG00000249087",4810,7612
"ENSG00000249669",4810,7612
"ENSG00000250148",4810,7612
"ENSG00000250284",4810,7612
"ENSG00000250306",4810,7612
"ENSG00000251034",4810,7612
"ENSG00000251348",4810,7612
"ENSG00000251682",4810,7612
"ENSG00000252751",4810,7612
"ENSG00000253710",4810,7612
"ENSG00000255020",4810,7612
"ENSG00000255471",4810,7612
"ENSG00000255717",4810,7612
"ENSG00000256861",4810,7612
"ENSG00000258215",4810,7612
"ENSG00000258789",4810,7612
"ENSG00000258839",4810,7612
"ENSG00000259943",4810,7612
"ENSG00000260232",4810,7612
"ENSG00000260469",4810,7612
"ENSG00000260572",4810,7612
"ENSG00000260942",4810,7612
"ENSG00000261114",4810,7612
"ENSG00000261270",4810,7612
"ENSG00000261652",4810,7612
"ENSG00000261799",4810,7612
"ENSG00000262621",4810,7612
"ENSG00000264834",4810,7612
"ENSG00000264961",4810,7612
"ENSG00000267072",4810,7612
"ENSG00000267191",4810,7612
"ENSG00000268100",4810,7612
"ENSG00000268573",4810,7612
"ENSG00000269242",4810,7612
"ENSG00000269935",4810,7612
"ENSG00000270317",4810,7612
"ENSG00000270640",4810,7612
"ENSG00000271659",4810,7612
"ENSG00000273188",4810,7612
"ENSG00000274008",4810,7612
"ENSG00000275127",4810,7612
"ENSG00000275302",4810,7612
"ENSG00000277957",4810,7612
"ENSG00000279594",4810,7612
"ENSG00000280339",4810,7612
"ENSG00000281538",4810,7612
"ENSG00000281593",4810,7612
"ENSG00000283201",4810,7612
"ENSG00000283382",4810,7612
"ENSG00000008513",4878,7536
"ENSG00000009790",4878,7536
"ENSG00000039068",4878,7536
"ENSG00000043462",4878,7536
"ENSG00000048740",4878,7536
"ENSG00000059804",4878,7536
"ENSG00000070882",4878,7536
"ENSG00000071073",4878,7536
"ENSG00000074181",4878,7536
"ENSG00000084453",4878,7536
"ENSG00000086730",4878,7536
"ENSG00000087116",4878,7536
"ENSG00000090382",4878,7536
"ENSG00000091879",4878,7536
"ENSG00000099625",4878,7536
"ENSG00000100336",4878,7536
"ENSG00000102359",4878,7536
"ENSG00000103490",4878,7536
"ENSG00000104327",4878,7536
"ENSG00000104812",4878,7536
"ENSG00000105339",4878,7536
"ENSG00000105697",4878,7536
"ENSG00000107242",4878,7536
"ENSG00000110436",4878,7536
"ENSG00000112232",4878,7536
"ENSG00000117394",4878,7536
"ENSG00000118271",4878,7536
"ENSG00000119938",4878,7536
"ENSG00000120694",4878,7536
"ENSG00000127241",4878,7536
"ENSG00000130165",4878,7536
"ENSG00000131724",4878,7536
"ENSG00000132718",4878,7536
"ENSG00000133265",4878,7536
"ENSG00000137168",4878,7536
