"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","18/1066","50/9376",0.36,3.16637898686679,5.50092165597537,4.49264378687061e-06,0.000127062801530662,9.14729182223159e-05,"3683/6401/3082/3383/7042/6347/7043/2995/7099/7097/7412/3592/3576/4615/3040/1378/2532/5175",18
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","16/1066","41/9376",0.390243902439024,3.43238914565506,5.59025414901874,4.52231994448665e-06,0.000127062801530662,9.14729182223159e-05,"999/2261/4313/9252/4318/595/1871/7422/1839/1026/5894/4609/1950/2064/1029/3576",16
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","30/1066","112/9376",0.267857142857143,2.35593674618065,5.17026611785938,4.74659890775462e-06,0.000127062801530662,9.14729182223159e-05,"2773/7132/3912/7042/3551/4790/5602/329/3910/7043/3915/7099/7097/23533/23643/1234/6774/3592/4615/3119/3654/3123/3117/3127/3111/3122/3304/3115/3113/3588",30
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","35/1066","142/9376",0.246478873239437,2.1679042359221,5.02250293650407,6.18362277826996e-06,0.000153707194774139,0.000110654302347989,"9020/7305/3937/7132/2213/7042/29760/54209/4689/3551/10859/7046/4790/5602/3552/3554/7186/5468/3454/2212/2209/3455/2215/7048/6850/2353/3726/9021/11006/353514/487/5336/2214/23547/3690",35
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","21/1066","66/9376",0.318181818181818,2.79856728637216,5.25155049658234,7.07781537131368e-06,0.000164205316614477,0.000118211933920888,"3566/7042/4790/3552/8807/7043/7099/7097/64127/6774/3592/4094/3119/7100/3123/3117/3127/3111/3122/3115/3113",21
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","29/1066","109/9376",0.26605504587156,2.34008640721552,5.04011212600596,7.86528431961953e-06,0.000171069933951725,0.000123153793951937,"51085/7132/5837/6196/5836/5106/3551/2997/10488/4790/5602/5564/6513/5507/5565/5509/9882/11001/11000/5580/6774/3667/79660/22877/5781/9021/10724/1375/90673",29
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","27/1066","101/9376",0.267326732673267,2.35127152490108,4.8900137630193,1.45963365770143e-05,0.000298795595811821,0.000215103907450737,"6401/1906/4313/3383/7042/5054/7046/6347/1277/4790/5602/595/7422/3552/2152/7043/1958/5292/51196/185/7412/7048/5580/1281/6774/3576/5336",27
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","39/1066","173/9376",0.225433526011561,1.98279994360637,4.67290758417482,1.81260758162181e-05,0.000350437465780216,0.000252281055219877,"637/7132/4938/3383/8480/29108/3551/6347/4790/3552/8795/7706/8743/7187/3337/5894/7099/834/5371/3454/3455/3592/3627/3576/4615/3119/71/9021/3440/3123/51284/3117/3127/3111/3122/3115/3113/9641/6352",39
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","21/1066","70/9376",0.3,2.63864915572233,4.9285277152123,1.9603570541635e-05,0.000359054870973105,0.000258484752848152,"3683/637/3383/4625/6640/857/595/1982/1837/6645/3119/5551/71/3123/3117/3127/3111/3122/3115/3113/3106",21
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","18/1066","56/9376",0.321428571428571,2.82712409541678,4.91154164672045,2.71588763966644e-05,0.000472564449301961,0.000340200662231902,"23786/29108/4790/57396/718/7099/7097/834/3329/840/3592/3576/929/4615/664/7100/1378/3304",18
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","35/1066","155/9376",0.225806451612903,1.98608000968347,4.43356133905638,4.63819853501802e-05,0.000731699385804251,0.000526752733882068,"9902/8685/4481/55176/2213/4689/10312/718/7099/347733/7097/2212/245973/2209/22925/715/2215/1520/6890/929/4973/84617/3119/71/2204/3123/3117/3127/2214/3111/3122/3115/3113/3106/3690",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","57/1066","298/9376",0.191275167785235,1.68236019995719,4.28736501009201,4.68456688481355e-05,0.000731699385804251,0.000526752733882068,"920/55540/4804/7132/3566/7042/1439/10673/9466/7046/6347/4055/653/3552/7850/3554/9173/8807/7292/7043/8795/8743/7852/3623/8740/2657/3597/10220/94/3454/9180/27242/56477/3455/115650/3570/1234/7048/84818/1230/1524/3592/3627/3576/6363/8793/3579/9966/3563/3440/1438/8718/8771/3588/2662/6352/6351",57
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","32/1066","137/9376",0.233576642335766,2.05442270031909,4.45272912007086,4.83594421652235e-05,0.000731699385804251,0.000526752733882068,"843/8837/9020/637/7132/4616/1439/1522/3551/5414/4790/5602/329/1509/8795/8743/7186/468/10912/5894/839/597/8996/1520/1508/840/2353/5551/71/3563/6709/4914",32
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","57/1066","300/9376",0.19,1.67114446529081,4.23148811550957,5.69391067155618e-05,0.000818916662791446,0.000589540731229171,"9020/3082/4804/7132/2261/6196/5566/2122/8550/285/7042/4616/9252/2321/3551/7046/1326/4790/5602/7422/3552/3554/5321/7043/1843/1846/3164/6237/2002/7186/468/10912/5894/22800/4609/1847/1950/23162/1848/3480/2064/9064/774/775/7048/3481/5871/2668/255189/1942/2353/929/4615/3654/4137/4914/3304",57
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","46/1066","227/9376",0.202643171806167,1.78234744733079,4.27355712242946,5.96562238092973e-05,0.000818916662791446,0.000589540731229171,"637/9564/2773/7132/5566/5743/5829/3551/10488/6347/4790/595/1871/7422/59345/3554/113/7852/1026/2002/7186/468/5894/4609/1029/808/3570/1234/1230/115004/567/2786/6890/6774/5747/3576/5734/3579/340061/1978/3440/3106/3588/3690/6352/6351",46
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","26/1066","103/9376",0.252427184466019,2.22022259057542,4.45975778368517,6.11834288292459e-05,0.000818916662791446,0.000589540731229171,"8837/2773/7132/7042/3551/5054/7046/6347/4790/5602/7043/718/7099/7097/9630/714/7048/3592/3576/2353/4615/713/712/55844/3654/6352",26
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","65/1066","362/9376",0.179558011049724,1.57930198086511,4.02591174884742,0.000104573113340612,0.00134783123861233,0.000970308030216985,"3674/3082/4804/5525/2261/5526/3566/3912/285/1299/5106/10110/2321/3551/2997/3718/10488/1277/4790/595/7450/5528/7422/3910/59345/6696/3164/1017/1026/468/5894/3915/7099/4609/7097/22801/1950/10161/3480/23533/2064/3454/8515/9180/118788/3455/29941/3570/6850/3481/2786/7148/2668/3667/1942/5747/55844/253314/57121/3563/9863/1978/3440/4914/3690",65
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","24/1066","95/9376",0.252631578947368,2.22202034166091,4.28752415876934,0.000114479229729583,0.00142281328378196,0.0010242878449489,"3683/3383/7042/10673/2321/6347/10312/7422/3552/7043/7099/7097/245973/3576/2353/3119/3123/3117/3127/3111/3122/3115/3113/6352",24
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","26/1066","109/9376",0.238532110091743,2.09800850302081,4.12964861126513,0.000167659818274698,0.00201191781929638,0.00144838608890665,"51311/3551/1326/4790/5602/6696/7187/7099/7097/3454/23643/3455/3592/3627/3576/2353/929/4615/7096/3654/7100/3440/51284/9641/6352/6351",26
