"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060997","dendritic spine morphogenesis","17/1607","58/18860",0.293103448275862,3.43990730210501,5.6796327774227,4.06390670014135e-06,0.000459619879341477,0.000372671567982002,"ARHGAP33/PAFAH1B1/CAMK2B/NGEF/PAK3/DVL1/EPHA4/DLG4/ITPKA/ZNF365/ABI2/EPHB1/EFNA1/RELN/ARC/SHANK3/SRCIN1",17
"GO:0060996","dendritic spine development","23/1607","96/18860",0.239583333333333,2.81178697365692,5.43144010476087,4.17767491162282e-06,0.000463400555581547,0.000375737037091907,"ARHGAP33/PAFAH1B1/CAMK2B/NGEF/CAMK2A/PAK3/DVL1/NEURL1/EPHA4/PAK4/DLG4/ITPKA/ZNF365/ABI2/IQSEC1/EPHB1/EFNA1/RELN/LPAR1/ARC/FOXO6/SHANK3/SRCIN1",23
"GO:0097061","dendritic spine organization","21/1607","83/18860",0.253012048192771,2.9693884436314,5.48772431429494,4.3000932318797e-06,0.000467979957763814,0.000379450133649285,"ARHGAP33/PAFAH1B1/CAMK2B/NGEF/PAK3/DVL1/EPHA4/DLG4/ITPKA/ZNF365/ABI2/HOMER1/EPHB1/EFNA1/ZNF804A/CHRNA7/RELN/ARC/SHANK3/GRIN2B/SRCIN1",21
"GO:0034762","regulation of transmembrane transport","67/1607","450/18860",0.148888888888889,1.7473829772523,4.897309168822,4.71917798860439e-06,0.000504078122930928,0.000408719450358076,"MCUB/CACNG3/IGF1/NEDD4L/CYBA/KCNH2/KCNAB2/GNB5/DLG1/NOS1/OSBPL8/SORBS1/ABL1/CBARP/TRIB3/CEMIP/HAMP/PIK3CG/PRKAG2/PPP3CB/RGS9/SLC1A2/PTPN6/RGS4/NR4A3/RHOQ/HPCA/C3/ARPP19/APLNR/CD63/PIM1/UBR3/STAC/PIK3R1/SLC25A27/JPH3/UBASH3B/BRAF/G6PD/PEA15/PRKCI/SLMAP/FABP5/WNK2/CACNB2/PRKCB/KCNJ4/KCNAB1/P2RY6/HAP1/CNIH2/KCNE3/UCP2/KCNE5/ANO6/SLC8A1/LRRC55/ACSL5/TCAF1/RYR2/CALM1/PPP3R1/TNF/LYN/ITGB3/GRIN2B",67
"GO:0070588","calcium ion transmembrane transport","54/1607","339/18860",0.15929203539823,1.86947591014973,4.93015013252386,5.44435676860675e-06,0.000570964542569522,0.000462952672208991,"MCUB/CACNG3/CYBA/MCOLN3/SEC61A1/GNB5/ATP2B1/TRPM3/NOS1/ABL1/CBARP/CACNA1I/CEMIP/PIK3CG/NCS1/PPP3CB/RGS9/PANX1/ASIC1/PTPN6/SLC25A23/APLNR/PLCE1/SLC24A4/UBR3/SLC25A25/PLCH2/GPM6A/ITPR1/JPH3/UBASH3B/PLCL2/ATP2B2/CACNA2D3/G6PD/CCR5/TRPV6/CACNB2/P2RY6/HAP1/ATP2A2/CHRNA7/UCP2/ANO6/CACNB4/PLCB1/SLC8A1/CACNA1H/RYR2/CALM1/PPP3R1/LYN/ITGB3/GRIN2B",54
"GO:0007612","learning","32/1607","162/18860",0.197530864197531,2.31825270613904,5.1427280421878,5.64060359071765e-06,0.000580982169843918,0.000471075220931551,"PRKAR2B/CIC/DDHD2/ABL1/NPTX2/PPP3CB/PPP1R9B/ASIC1/TACR1/ATP8A1/ATXN1/C1QL1/PPP1R1B/DLG4/SNAP25/SYT11/YTHDF1/JPH3/NRGN/KIT/BRAF/BTG2/BRSK1/ELAVL4/GABRB3/NETO1/RGS14/FOS/NPAS4/PLCB1/RELN/SHANK3",32
"GO:0007409","axonogenesis","69/1607","472/18860",0.146186440677966,1.71566662799405,4.80562054350938,6.48108308261562e-06,0.000655840126675911,0.000531771969271675,"ETV1/PAFAH1B1/CDKL5/VCL/CDH1/XK/NOTCH3/PAK3/ULK2/WDR47/ABL1/NRP1/EPHB6/DVL1/PPP3CB/UNC5A/RPL24/TTL/RTN4/EPHA4/PLPPR4/NRP2/B4GALT6/SPP1/NR4A3/BCL11A/SLITRK3/EGR2/VASP/RNF6/SMO/FEZF1/ATP8A2/MYH10/DCLK1/EPHA7/TUBB2B/ERBB2/CNTN4/EPHA5/YTHDF1/PRDM8/ROBO3/EPHB1/NPTN/BRAF/BRSK1/ADCY1/SLITRK5/RET/SEMA6B/KIFC2/EFNA1/B3GNT2/CDK5R2/BRSK2/FOXG1/SLITRK4/RGMA/SLITRK6/ROBO2/SEMA4D/COL25A1/RELN/LAMA2/DCHS2/S100A6/CYFIP1/NEFL",69
"GO:0006650","glycerophospholipid metabolic process","49/1607","300/18860",0.163333333333333,1.91690520638872,4.88574771578033,7.27849539346891e-06,0.000723833817750495,0.000586902995157575,"PAFAH1B1/ZRANB1/INPP4A/PIK3CB/INPP5A/CHAT/PIK3C3/SYNJ2/HADHA/ITPKC/OSBPL8/PITPNM3/DGKH/PIK3CG/PIP5K1B/PTPMT1/LPCAT3/LPGAT1/BECN1/ABHD8/LDLR/PEMT/PLAAT4/DGKB/ITPKA/SELENOI/PLCE1/PIK3R5/ITPKB/ETNK2/PLA1A/PIK3R1/PLA2G7/DGKZ/PLCH2/DGKE/PLCL2/DGKI/PRKAA2/BPNT1/PLB1/PIGX/ENPP6/FABP5/AGPAT2/PIK3CD/PLCB1/CHRM5/INPP5F",49
"GO:0048168","regulation of neuronal synaptic plasticity","17/1607","61/18860",0.278688524590164,3.27073153314903,5.42123573006177,8.63357952639771e-06,0.000844042147597661,0.000684370987257539,"NCDN/CAMK2B/CAMK2A/NEURL1/DLG4/SYT4/JPH3/NPTN/KIT/NETO1/GSG1L/HRAS/MCTP1/ARC/SHISA9/SHANK3/GRIN2B",17
"GO:0044342","type B pancreatic cell proliferation","11/1607","28/18860",0.392857142857143,4.61063205618277,5.83510914683997,9.11693470959077e-06,0.000866641501156561,0.000702695121840755,"IGF1/PTPRN/WDR13/NR4A3/NR4A1/CCN3/IGFBP4/IGFBP3/BTBD10/SGPP2/DACH1",11
