"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","37/877","222/9376",0.166666666666667,1.78183200304067,3.78691883553193,0.000354125200384291,0.00244996822306683,0.00139976448701846,"6141/6160/6128/6175/6164/6152/6144/9349/6155/51318/6210/11224/6194/6229/6205/6135/6189/28957/6129/6132/6154/200916/6133/6227/6201/6232/6218/6165/51065/9045/6191/4736/6170/6235/6171/6222/6139",37
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","23/877","116/9376",0.198275862068966,2.11976565878976,3.89809272748716,0.000393135624182584,0.00261225683855183,0.00149248644090525,"3683/7414/5291/1535/5829/3383/4689/2771/7852/7408/5582/9475/5295/50848/7410/1536/5579/3684/5293/1003/29119/5175/4267",23
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","23/877","116/9376",0.198275862068966,2.11976565878976,3.89809272748716,0.000393135624182584,0.00261225683855183,0.00149248644090525,"23154/10681/2782/5532/6506/2771/2744/2891/113/5582/1742/3708/9456/2776/107/5579/9229/111/2788/23236/5534/85358/2904",23
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","22/877","109/9376",0.201834862385321,2.15781490276485,3.90556907254877,0.00040302983294546,0.00261225683855183,0.00149248644090525,"3459/10148/3718/5532/3554/5914/3662/6258/4794/861/3570/7048/6774/2353/5970/3725/3119/3117/3111/3122/5534/3113",22
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","13/877","49/9376",0.26530612244898,2.83638563749331,4.13992486614412,0.000414793196259597,0.00261225683855183,0.00149248644090525,"4129/8787/2771/2891/2354/84152/1742/90993/5970/111/3725/4128/2904",13
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","40/877","248/9376",0.161290322580645,1.72435355132968,3.71355737890255,0.000416111708795867,0.00261225683855183,0.00149248644090525,"5606/5291/7132/5063/5289/58484/27128/25828/29108/5294/10392/2597/10000/57180/9475/9648/7295/8737/347733/6993/3606/23643/84516/84790/2353/5293/54205/5970/257364/3265/84617/3725/302/7100/10383/203068/837/7124/4671/23191",40
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","19/877","89/9376",0.213483146067416,2.28234661063636,3.9044892285945,0.000472436081018483,0.00285992556187975,0.00163398945314663,"960/1298/3655/1299/3910/6696/22987/1284/3679/1291/8515/3678/255743/9899/1282/1287/5649/3908/3690",19
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","19/877","89/9376",0.213483146067416,2.28234661063636,3.9044892285945,0.000472436081018483,0.00285992556187975,0.00163398945314663,"2983/5159/2771/113/5582/347733/3708/2977/2776/107/5579/84790/111/3265/84617/23236/10383/203068/1902",19
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","25/877","133/9376",0.18796992481203,2.00958496583534,3.766723476976,0.000523069940874424,0.00311088964835842,0.00177737523768964,"816/4129/10681/815/5522/2782/5532/2771/10000/2891/5582/84152/2774/3708/2776/5521/90993/5579/2353/111/2788/23236/4128/801/2904",25
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","37/877","227/9376",0.162995594713656,1.74258460209264,3.63809114059844,0.000550690004483568,0.00321868812965396,0.00183896480626092,"5291/7132/10681/2782/5829/4776/5532/595/2771/3554/10000/113/7852/5582/9475/8737/5295/3708/2776/90993/3570/1234/107/5579/567/6774/5293/54205/5970/111/3265/2788/23236/801/5534/7124/3690",37
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","27/877","149/9376",0.181208053691275,1.93729385565496,3.70459012064273,0.000581590705302607,0.00334168218809464,0.00190923621366065,"2554/10681/2782/140679/2557/2566/2771/374291/1268/2891/113/4694/5582/4698/747/2561/4715/3708/2776/107/2562/5579/111/2788/23236/2563/4697",27
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","19/877","91/9376",0.208791208791209,2.23218514666633,3.79408653231363,0.000632759654586848,0.00357509204841569,0.00204259256919263,"2554/10681/5151/2782/140679/2557/10846/2566/2771/113/5582/2561/107/2562/5579/111/2788/5138/2563",19
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","16/877","71/9376",0.225352112676056,2.40923763791414,3.82874761856419,0.000694980592659707,0.0038622691952728,0.00220666831836732,"5291/2260/2645/5159/2744/10000/6513/2064/5295/3815/2539/3101/5224/5979/5293/3265",16
