"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","16/897","67/9376",0.238805970149254,2.49614802242966,3.99732989136551,0.000448698708024414,0.0142359862818655,0.0102621044227593,"5594/5595/5532/5906/2891/5908/5530/805/818/5331/814/2905/107/5579/23236/2903",16
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","23/897","116/9376",0.198275862068966,2.07250221043325,3.78034328769227,0.000541545889135737,0.014831546887018,0.0106914182053908,"9454/2773/10681/2775/5594/5595/57030/5532/81539/2891/27165/5530/5331/9456/2905/2785/107/5579/9229/55970/23236/2903/85358",23
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","26/897","138/9376",0.188405797101449,1.96933417349296,3.73107200296339,0.000555524334645377,0.014831546887018,0.0106914182053908,"5577/5601/5291/3991/2932/1399/5594/5595/5257/10891/867/5576/868/2002/5565/5562/207/805/6464/5293/79660/6517/8660/1978/5575/31",26
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","28/897","154/9376",0.181818181818182,1.90047633525894,3.66462590693671,0.000628782039282986,0.014831546887018,0.0106914182053908,"10368/9254/2773/782/2775/5594/10398/5595/59284/5532/1026/2002/4772/5565/5562/5530/805/818/5331/814/55799/107/5598/5579/10369/2353/785/23236",28
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","13/897","50/9376",0.26,2.71768115942029,3.96085907525634,0.000637459035258654,0.014831546887018,0.0106914182053908,"51056/4843/4129/8974/2805/5033/6303/55748/223/8659/2628/57571/5831",13
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","20/897","97/9376",0.206185567010309,2.15517934926272,3.71958286538885,0.000728135539929403,0.0149860226238101,0.0108027730571275,"2773/10681/117/2775/5594/5595/1385/2891/805/818/5331/2905/2785/107/5579/2353/55970/23236/2903/9722",20
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","16/897","70/9376",0.228571428571429,2.38917025003982,3.79430739318995,0.000753636067507523,0.0149860226238101,0.0108027730571275,"3082/5291/5063/2271/7042/1399/5594/5595/5906/1026/5908/112399/207/7039/5293/112398",16
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","37/897","226/9376",0.163716814159292,1.71126962046546,3.52036321465303,0.000772918072288202,0.0149860226238101,0.0108027730571275,"5601/5291/493/2773/490/117/3991/5594/10398/5595/10846/5906/1385/2891/1908/6662/5908/4772/51196/10021/207/481/805/9586/1392/818/814/491/2905/476/134/64399/107/2353/5293/5970/2903",37
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","33/897","196/9376",0.168367346938776,1.75987987168111,3.49672257913535,0.000892293771791713,0.0150752001640406,0.0108670572740332,"3459/5601/5291/5610/6416/7132/10681/5609/2932/5594/84557/5595/5532/1385/1026/8678/4772/3572/3452/2247/5530/207/805/2785/9261/6774/2353/5293/55970/5970/3665/10379/3106",33
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","35/897","212/9376",0.165094339622642,1.72566837045918,3.47594684341251,0.000909839400482084,0.0150752001640406,0.0108670572740332,"3082/5606/5291/2773/5217/2260/2775/1943/1399/5594/5595/50855/5906/7408/5908/7094/51196/2247/207/805/56034/56288/5331/55740/107/5579/5293/83660/84552/23236/2903/1946/1435/51466/3690",35
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","17/897","78/9376",0.217948717948718,2.27813509418861,3.68670877034246,0.000928853868725553,0.0150752001640406,0.0108670572740332,"4843/5601/2773/5594/5595/3659/805/710/715/3678/6374/1073/2353/5970/716/721/720",17
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","29/897","166/9376",0.174698795180723,1.82606009321567,3.49257236245415,0.000987460982906755,0.0150752001640406,0.0108670572740332,"493/2773/490/7419/5594/10398/5595/5532/1385/10672/7408/4772/5530/207/481/805/2768/9586/5331/291/491/476/134/107/5581/146/23236/6546/8660",29
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","56/897","388/9376",0.144329896907216,1.5086255444839,3.32806684633875,0.00106965406063868,0.0150752001640406,0.0108670572740332,"4843/7384/4719/5601/5291/5610/55102/7132/6389/5609/7419/2932/4713/5594/5595/5713/5532/55626/506/57142/5690/8678/7277/348/84701/7280/347733/5530/207/5686/805/5331/291/498/7476/8321/516/8883/1346/2905/4041/23385/322/5293/5970/7388/25825/23236/2903/29796/1435/55967/8660/4137/57181/5718",56
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","26/897","144/9376",0.180555555555556,1.88727858293076,3.48981888841286,0.00107717286774213,0.0150752001640406,0.0108670572740332,"5601/5291/55102/7419/5173/10528/2259/5713/55626/2891/5690/8678/3748/7222/10939/207/5686/5331/291/2905/5579/3752/5293/23236/2903/5718",26
