DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,PBMC,ENSG00001774077,0.1962913500,0.0068390000,2.1650073963,,
AD,Wingo,2015,PBMC,ENSG00000168569,-0.4031429000,0.0068970000,2.1613397740,,
AD,Wingo,2015,PBMC,ENSG00001745962,-0.3355996000,0.0069370000,2.1588283055,,
AD,Wingo,2015,PBMC,ENSG00001810941,-0.1000902000,0.0069870000,2.1557092567,,
AD,Wingo,2015,PBMC,ENSG00001756506,-0.2059662000,0.0070700000,2.1505805862,,
AD,Wingo,2015,PBMC,ENSG00000176783,0.1120845900,0.0070730000,2.1503963419,,
AD,Wingo,2015,PBMC,ENSG00001733963,-0.2828384000,0.0070800000,2.1499667423,,
AD,Wingo,2015,PBMC,ENSG00001705469,0.1049530100,0.0071640000,2.1448444228,,
AD,Wingo,2015,PBMC,ENSG00001705982,-0.3248985000,0.0072250000,2.1411621486,,
AD,Wingo,2015,PBMC,ENSG00001694780,-0.1109323000,0.0072340000,2.1406214956,,
AD,Wingo,2015,PBMC,ENSG00001750624,-0.1095583000,0.0073590000,2.1331811971,,
AD,Wingo,2015,PBMC,ENSG00001721127,0.1066954900,0.0073650000,2.1328272488,,
AD,Wingo,2015,PBMC,ENSG00001733927,-0.1650188000,0.0074900000,2.1255181823,,
AD,Wingo,2015,PBMC,ENSG00001758398,-0.3492087000,0.0074920000,2.1254022313,,
AD,Wingo,2015,PBMC,ENSG00002307740,0.1540789500,0.0074920000,2.1254022313,,
AD,Wingo,2015,PBMC,ENSG00001790228,-0.1892838000,0.0076090000,2.1186724159,,
AD,Wingo,2015,PBMC,ENSG00002106725,0.1966109000,0.0076500000,2.1163385648,,
AD,Wingo,2015,PBMC,ENSG00001669692,-0.1848196000,0.0077150000,2.1126640696,,
AD,Wingo,2015,PBMC,ENSG00002227968,0.1041090200,0.0078100000,2.1073489661,,
AD,Wingo,2015,PBMC,ENSG00002094776,0.1274868400,0.0078110000,2.1072933622,,
AD,Wingo,2015,PBMC,ENSG00002326509,0.1259887200,0.0078740000,2.1038045895,,
AD,Wingo,2015,PBMC,ENSG00001775011,-0.2973308000,0.0079470000,2.0997967870,,
AD,Wingo,2015,PBMC,ENSG00001732049,-0.3240414000,0.0080130000,2.0962048573,,
AD,Wingo,2015,PBMC,ENSG00000168517,0.1289605300,0.0080530000,2.0940423009,,
AD,Wingo,2015,PBMC,ENSG00000178809,-0.3798158000,0.0080780000,2.0926961512,,
AD,Wingo,2015,PBMC,ENSG00001787877,-0.1700038000,0.0081820000,2.0871405248,,
AD,Wingo,2015,PBMC,ENSG00000176871,-0.1125282000,0.0082140000,2.0854453015,,
AD,Wingo,2015,PBMC,ENSG00000167562,0.1016616500,0.0082360000,2.0842836621,,
AD,Wingo,2015,PBMC,ENSG00002388090,0.1374624100,0.0082660000,2.0827045991,,
AD,Wingo,2015,PBMC,ENSG00001724422,0.2135169200,0.0082950000,2.0811836096,,
AD,Wingo,2015,PBMC,ENSG00001813795,0.1275469900,0.0083200000,2.0798766737,,
AD,Wingo,2015,PBMC,ENSG00000233633,-0.2993515000,0.0083500000,2.0783135245,,
AD,Wingo,2015,PBMC,ENSG00002379313,0.1024812000,0.0083510000,2.0782615163,,
AD,Wingo,2015,PBMC,ENSG00000171291,-0.3228290000,0.0083710000,2.0772226581,,
AD,Wingo,2015,PBMC,ENSG00001671516,0.1236391000,0.0085580000,2.0676277179,,
AD,Wingo,2015,PBMC,ENSG00001806328,0.1037951100,0.0087230000,2.0593341275,,
AD,Wingo,2015,PBMC,ENSG00002404049,-0.3830489000,0.0087720000,2.0569013770,,
AD,Wingo,2015,PBMC,ENSG00002320888,0.1503665400,0.0090690000,2.0424405981,,
AD,Wingo,2015,PBMC,ENSG00000169402,-0.3836729000,0.0091680000,2.0377253954,,
AD,Wingo,2015,PBMC,ENSG00000203877,0.1455263200,0.0092230000,2.0351277914,,
AD,Wingo,2015,PBMC,ENSG00002412521,0.1933139100,0.0092590000,2.0334359159,,
AD,Wingo,2015,PBMC,ENSG00002362581,0.1142669200,0.0093290000,2.0301649069,,
AD,Wingo,2015,PBMC,ENSG00000168077,0.1082706800,0.0094260000,2.0256725646,,
AD,Wingo,2015,PBMC,ENSG00000236554,0.1121203000,0.0094350000,2.0252580955,,
AD,Wingo,2015,PBMC,ENSG00002311278,0.1805018800,0.0095650000,2.0193150256,,
AD,Wingo,2015,PBMC,ENSG00001815479,0.1417725600,0.0096930000,2.0135417873,,
AD,Wingo,2015,PBMC,ENSG00000181562,-0.1102481000,0.0097180000,2.0124231053,,
AD,Wingo,2015,PBMC,ENSG00001726591,0.1552312000,0.0097940000,2.0090399003,,
AD,Wingo,2015,PBMC,ENSG00001701837,0.1370357100,0.0099430000,2.0024825606,,
AD,Wingo,2015,PBMC,ENSG00001777058,0.1280902300,0.0099920000,2.0003475746,,
AD,Wingo,2015,PBMC,ENSG00002410975,-0.1223196000,0.0100610000,1.9973588510,,
AD,Wingo,2015,PBMC,ENSG00001702055,-0.3632951000,0.0100640000,1.9972293719,,
